2021-03-17 12:09:16,794 [main:66] - Compilation checking started
2021-03-17 12:09:18,214 [main:17] - Swap 0 of 101
2021-03-17 12:09:18,215 [main:40] - SWAPING PsiElement(fun) and PsiElement(LPAR)
2021-03-17 12:09:18,441 [main:66] - Compilation checking started
2021-03-17 12:09:18,444 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:18,446 [main:17] - Swap 1 of 101
2021-03-17 12:09:18,447 [main:40] - SWAPING PsiElement(IDENTIFIER) and PsiElement(REGULAR_STRING_PART)
2021-03-17 12:09:18,615 [main:66] - Compilation checking started
2021-03-17 12:09:18,617 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:18,619 [main:17] - Swap 2 of 101
2021-03-17 12:09:18,619 [main:40] - SWAPING Element(TYPE_PARAMETER_LIST) and PsiElement(IDENTIFIER)
2021-03-17 12:09:18,801 [main:66] - Compilation checking started
2021-03-17 12:09:18,805 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:18,807 [main:17] - Swap 3 of 101
2021-03-17 12:09:18,808 [main:40] - SWAPING PsiElement(LBRACE) and PsiElement(IDENTIFIER)
2021-03-17 12:09:18,961 [main:66] - Compilation checking started
2021-03-17 12:09:18,963 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:18,965 [main:17] - Swap 4 of 101
2021-03-17 12:09:18,965 [main:40] - SWAPING PsiElement(LPAR) and PsiElement(IDENTIFIER)
2021-03-17 12:09:19,152 [main:66] - Compilation checking started
2021-03-17 12:09:19,155 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:19,157 [main:17] - Swap 5 of 101
2021-03-17 12:09:19,158 [main:40] - SWAPING Element(FUN) and PsiElement(IDENTIFIER)
2021-03-17 12:09:19,269 [main:66] - Compilation checking started
2021-03-17 12:09:19,271 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:19,272 [main:17] - Swap 6 of 101
2021-03-17 12:09:19,272 [main:40] - SWAPING Element(STRING_TEMPLATE) and PsiElement(OPEN_QUOTE)
2021-03-17 12:09:19,411 [main:66] - Compilation checking started
2021-03-17 12:09:20,245 [main:17] - Swap 7 of 101
2021-03-17 12:09:20,246 [main:40] - SWAPING PsiElement(LT) and Element(VALUE_PARAMETER_LIST)
2021-03-17 12:09:20,368 [main:66] - Compilation checking started
2021-03-17 12:09:20,370 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:20,371 [main:17] - Swap 8 of 101
2021-03-17 12:09:20,371 [main:40] - SWAPING Element(LITERAL_STRING_TEMPLATE_ENTRY) and PsiElement(RBRACE)
2021-03-17 12:09:20,478 [main:66] - Compilation checking started
2021-03-17 12:09:20,480 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:20,481 [main:17] - Swap 9 of 101
2021-03-17 12:09:20,481 [main:40] - SWAPING Element(USER_TYPE) and PsiElement(COLON)
2021-03-17 12:09:20,595 [main:66] - Compilation checking started
2021-03-17 12:09:20,598 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:20,600 [main:17] - Swap 10 of 101
2021-03-17 12:09:20,600 [main:40] - SWAPING BLOCK and Element(LITERAL_STRING_TEMPLATE_ENTRY)
2021-03-17 12:09:20,734 [main:66] - Compilation checking started
2021-03-17 12:09:20,736 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:20,737 [main:17] - Swap 11 of 101
2021-03-17 12:09:20,737 [main:40] - SWAPING Element(REFERENCE_EXPRESSION) and Element(TYPE_REFERENCE)
2021-03-17 12:09:20,845 [main:66] - Compilation checking started
2021-03-17 12:09:21,424 [main:17] - Swap 12 of 101
2021-03-17 12:09:21,424 [main:40] - SWAPING PsiElement(RPAR) and PsiElement(else)
2021-03-17 12:09:21,550 [main:66] - Compilation checking started
2021-03-17 12:09:21,551 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:21,552 [main:17] - Swap 13 of 101
2021-03-17 12:09:21,553 [main:40] - SWAPING Element(RETURN) and PsiElement(LBRACE)
2021-03-17 12:09:21,679 [main:66] - Compilation checking started
2021-03-17 12:09:21,681 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:21,682 [main:17] - Swap 14 of 101
2021-03-17 12:09:21,683 [main:40] - SWAPING Element(STRING_TEMPLATE) and Element(VALUE_ARGUMENT_LIST)
2021-03-17 12:09:21,796 [main:66] - Compilation checking started
2021-03-17 12:09:21,797 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:21,798 [main:17] - Swap 15 of 101
2021-03-17 12:09:21,798 [main:40] - SWAPING Element(REFERENCE_EXPRESSION) and PsiElement(LPAR)
2021-03-17 12:09:21,925 [main:66] - Compilation checking started
2021-03-17 12:09:21,926 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:21,927 [main:17] - Swap 16 of 101
2021-03-17 12:09:21,927 [main:40] - SWAPING PsiElement(CLOSING_QUOTE) and PsiElement(return)
2021-03-17 12:09:22,048 [main:66] - Compilation checking started
2021-03-17 12:09:22,049 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:22,050 [main:17] - Swap 17 of 101
2021-03-17 12:09:22,051 [main:40] - SWAPING Element(BINARY_EXPRESSION) and Element(TYPE_PARAMETER_LIST)
2021-03-17 12:09:22,155 [main:66] - Compilation checking started
2021-03-17 12:09:22,156 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:22,157 [main:17] - Swap 18 of 101
2021-03-17 12:09:22,157 [main:40] - SWAPING Element(VALUE_ARGUMENT_LIST) and PsiElement(RBRACE)
2021-03-17 12:09:22,262 [main:66] - Compilation checking started
2021-03-17 12:09:22,866 [main:17] - Swap 19 of 101
2021-03-17 12:09:22,866 [main:40] - SWAPING PsiElement(fun) and PsiElement(CLOSING_QUOTE)
2021-03-17 12:09:22,956 [main:66] - Compilation checking started
2021-03-17 12:09:22,957 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:22,958 [main:17] - Swap 20 of 101
2021-03-17 12:09:22,958 [main:40] - SWAPING Element(RETURN) and PsiElement(SHORT_TEMPLATE_ENTRY_START)
2021-03-17 12:09:23,056 [main:66] - Compilation checking started
2021-03-17 12:09:23,058 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,059 [main:17] - Swap 21 of 101
2021-03-17 12:09:23,060 [main:40] - SWAPING PsiElement(IDENTIFIER) and Element(LITERAL_STRING_TEMPLATE_ENTRY)
2021-03-17 12:09:23,161 [main:66] - Compilation checking started
2021-03-17 12:09:23,162 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,163 [main:17] - Swap 22 of 101
2021-03-17 12:09:23,163 [main:40] - SWAPING PsiElement(return) and PsiElement(RPAR)
2021-03-17 12:09:23,266 [main:66] - Compilation checking started
2021-03-17 12:09:23,268 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,269 [main:17] - Swap 23 of 101
2021-03-17 12:09:23,269 [main:40] - SWAPING Element(BINARY_EXPRESSION) and PsiElement(IDENTIFIER)
2021-03-17 12:09:23,377 [main:66] - Compilation checking started
2021-03-17 12:09:23,378 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,379 [main:17] - Swap 24 of 101
2021-03-17 12:09:23,379 [main:40] - SWAPING PsiElement(DOT) and PsiElement(GT)
2021-03-17 12:09:23,470 [main:66] - Compilation checking started
2021-03-17 12:09:23,471 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,472 [main:17] - Swap 25 of 101
2021-03-17 12:09:23,472 [main:40] - SWAPING PsiElement(IDENTIFIER) and PsiElement(OPEN_QUOTE)
2021-03-17 12:09:23,580 [main:66] - Compilation checking started
2021-03-17 12:09:23,581 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,582 [main:17] - Swap 26 of 101
2021-03-17 12:09:23,583 [main:40] - SWAPING PsiElement(CLOSING_QUOTE) and PsiElement(RPAR)
2021-03-17 12:09:23,708 [main:66] - Compilation checking started
2021-03-17 12:09:23,709 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:23,710 [main:17] - Swap 27 of 101
2021-03-17 12:09:23,710 [main:40] - SWAPING PsiElement(LBRACE) and BLOCK
2021-03-17 12:09:23,803 [main:66] - Compilation checking started
2021-03-17 12:09:24,324 [main:17] - Swap 28 of 101
2021-03-17 12:09:24,324 [main:40] - SWAPING PsiElement(REGULAR_STRING_PART) and Element(VALUE_PARAMETER)
2021-03-17 12:09:24,411 [main:66] - Compilation checking started
2021-03-17 12:09:24,412 [main:71] - Wrong syntax or breaks conditions
2021-03-17 12:09:24,413 [main:17] - Swap 29 of 101
2021-03-17 12:09:24,413 [main:40] - SWAPING Element(VALUE_ARGUMENT_LIST) and Element(LITERAL_STRING_TEMPLATE_ENTRY)
